Module                         | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem | CUDA Mem | FLOPs        | Parameters | Calls
-------------------------------|---------------|-----------|----------------|-----------|---------|----------|--------------|------------|------
VisionTransformer              |               |           |                |           |         |          |              |            |      
   │  │  │  ├── ln_2           | 1.044ms       | 3.074ms   | 35.712us       | 71.424us  | 0 b     | 6.01 Mb  | 0 FLOPs      | 1.54K      | 1    
   │  │  │  └── mlp            |               |           |                |           |         |          |              |            |      
   │  │  │  │  ├── 0           | 1.998ms       | 4.082ms   | 2.819ms        | 5.639ms   | 0 b     | 14.00 Mb | 2.57GFLOPs   | 2.36M      | 1    
   │  │  │  │  ├── 1           | 1.059ms       | 2.082ms   | 39.552us       | 52.736us  | 0 b     | 6.38 Mb  | 0 FLOPs      | 0          | 1    
   │  │  │  │  ├── 2           | 873.400us     | 873.400us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  │  ├── 3           | 1.954ms       | 4.098ms   | 2.559ms        | 5.117ms   | 0 b     | 5.00 Mb  | 2.57GFLOPs   | 2.36M      | 1    
   │  │  │  │  └── 4           | 888.500us     | 888.500us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  └── encoder_layer_11  |               |           |                |           |         |          |              |            |      
   │  │     ├── ln_1           | 1.064ms       | 3.134ms   | 35.712us       | 71.424us  | 0 b     | 6.01 Mb  | 0 FLOPs      | 1.54K      | 1    
   │  │     ├── self_attention |               |           |                |           |         |          |              |            |      
   │  │     │  └── out_proj    | 0.000ns       | 0.000ns   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs      | 590.59K    | 0    
   │  │     ├── dropout        | 1.183ms       | 1.183ms   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs      | 0          | 1    
   │  │     ├── ln_2           | 1.055ms       | 3.105ms   | 35.712us       | 71.424us  | 0 b     | 6.01 Mb  | 0 FLOPs      | 1.54K      | 1    
   │  │     └── mlp            |               |           |                |           |         |          |              |            |      
   │  │        ├── 0           | 2.035ms       | 4.201ms   | 2.815ms        | 5.630ms   | 0 b     | 14.00 Mb | 2.57GFLOPs   | 2.36M      | 1    
   │  │        ├── 1           | 1.037ms       | 2.035ms   | 40.125us       | 53.500us  | 0 b     | 6.38 Mb  | 0 FLOPs      | 0          | 1    
   │  │        ├── 2           | 824.900us     | 824.900us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs      | 0          | 1    
   │  │        ├── 3           | 1.830ms       | 3.738ms   | 2.561ms        | 5.122ms   | 0 b     | 5.00 Mb  | 2.57GFLOPs   | 2.36M      | 1    
   │           └── 4           | 837.200us     | 837.200us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs      | 0          | 1    
   │  └── ln                   | 1.045ms       | 3.081ms   | 36.000us       | 72.000us  | 0 b     | 6.01 Mb  | 0 FLOPs      | 1.54K      | 1    
   └── heads                   |               |           |                |           |         |          |              |            |      
      └── head                 | 1.056ms       | 3.059ms   | 105.018us      | 210.036us | 0 b     | 1.24 Mb  | 49.15MFLOPs  | 769.00K    | 1    

