Module                  | Self CPU time | CPU time | Self CUDA time | CUDA time | CPU Mem | CUDA Mem  | FLOPs        | Parameters | Calls
   │  │  └── relu       | 3.128ms       | 9.236ms  | 16.320us       | 32.640us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   │  ├── 4             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.075ms       | 5.242ms  | 79.872us       | 266.240us | 0 b     | 512.00 Kb | 67.11MFLOPs  | 262.14K    | 1    
   │  │  ├── bn1        | 1.004ms       | 3.949ms  | 12.960us       | 34.560us  | 0 b     | 640.00 Kb | 0 FLOPs      | 512.00     | 1    
   │  │  ├── conv2      | 1.170ms       | 5.605ms  | 154.368us      | 505.216us | 0 b     | 512.00 Kb | 150.99MFLOPs | 589.82K    | 1    
   │  │  ├── bn2        | 1.097ms       | 4.316ms  | 13.248us       | 35.328us  | 0 b     | 640.00 Kb | 0 FLOPs      | 512.00     | 1    
   │  │  ├── conv3      | 1.091ms       | 5.258ms  | 73.632us       | 245.440us | 0 b     | 2.00 Mb   | 67.11MFLOPs  | 262.14K    | 1    
   │  │  ├── bn3        | 1.139ms       | 4.479ms  | 40.416us       | 107.776us | 0 b     | 2.50 Mb   | 0 FLOPs      | 2.05K      | 1    
   │  │  └── relu       | 3.080ms       | 9.092ms  | 16.512us       | 33.024us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   │  └── 5             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.143ms       | 5.537ms  | 77.373us       | 257.910us | 0 b     | 512.00 Kb | 67.11MFLOPs  | 262.14K    | 1    
   │  │  ├── bn1        | 1.097ms       | 4.319ms  | 12.960us       | 34.560us  | 0 b     | 640.00 Kb | 0 FLOPs      | 512.00     | 1    
   │  │  ├── conv2      | 1.158ms       | 5.536ms  | 157.341us      | 515.622us | 0 b     | 512.00 Kb | 150.99MFLOPs | 589.82K    | 1    
   │  │  ├── bn2        | 1.141ms       | 4.463ms  | 12.960us       | 34.560us  | 0 b     | 640.00 Kb | 0 FLOPs      | 512.00     | 1    
   │  │  ├── conv3      | 1.118ms       | 5.370ms  | 72.960us       | 243.200us | 0 b     | 2.00 Mb   | 67.11MFLOPs  | 262.14K    | 1    
   │  │  ├── bn3        | 1.458ms       | 5.719ms  | 40.413us       | 107.768us | 0 b     | 2.50 Mb   | 0 FLOPs      | 2.05K      | 1    
   │  │  └── relu       | 3.215ms       | 9.486ms  | 16.509us       | 33.018us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   ├── layer4           |               |          |                |           |         |           |              |            |      
   │  ├── 0             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.204ms       | 5.622ms  | 231.744us      | 772.480us | 0 b     | 1.00 Mb   | 134.22MFLOPs | 524.29K    | 1    
   │  │  ├── bn1        | 1.105ms       | 4.340ms  | 22.848us       | 60.928us  | 0 b     | 1.25 Mb   | 0 FLOPs      | 1.02K      | 1    
   │  │  ├── conv2      | 1.218ms       | 5.708ms  | 295.965us      | 961.494us | 0 b     | 256.00 Kb | 150.99MFLOPs | 2.36M      | 1    
   │  │  ├── bn2        | 1.144ms       | 4.496ms  | 22.176us       | 59.136us  | 0 b     | 320.00 Kb | 0 FLOPs      | 1.02K      | 1    
   │  │  ├── conv3      | 1.106ms       | 5.313ms  | 108.192us      | 360.640us | 0 b     | 1.00 Mb   | 67.11MFLOPs  | 1.05M      | 1    
   │  │  ├── bn3        | 1.091ms       | 4.280ms  | 71.040us       | 189.440us | 0 b     | 1.25 Mb   | 0 FLOPs      | 4.10K      | 1    
   │  │  ├── relu       | 3.223ms       | 9.518ms  | 16.224us       | 32.448us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   │  │  └── downsample |               |          |                |           |         |           |              |            |      
   │  │  │  ├── 0       | 1.134ms       | 5.315ms  | 187.869us      | 626.230us | 0 b     | 1.00 Mb   | 134.22MFLOPs | 2.10M      | 1    
   │  │     └── 1       | 1.096ms       | 4.288ms  | 70.851us       | 188.936us | 0 b     | 1.25 Mb   | 0 FLOPs      | 4.10K      | 1    
   │  ├── 1             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.137ms       | 5.253ms  | 277.833us      | 926.110us | 0 b     | 256.00 Kb | 67.11MFLOPs  | 1.05M      | 1    
   │  │  ├── bn1        | 1.095ms       | 4.304ms  | 22.560us       | 60.160us  | 0 b     | 320.00 Kb | 0 FLOPs      | 1.02K      | 1    
   │  │  ├── conv2      | 1.232ms       | 5.674ms  | 398.208us      | 1.299ms   | 0 b     | 256.00 Kb | 150.99MFLOPs | 2.36M      | 1    
   │  │  ├── bn2        | 1.080ms       | 4.250ms  | 22.176us       | 59.136us  | 0 b     | 320.00 Kb | 0 FLOPs      | 1.02K      | 1    
   │  │  ├── conv3      | 1.091ms       | 5.226ms  | 110.016us      | 366.720us | 0 b     | 1.00 Mb   | 67.11MFLOPs  | 1.05M      | 1    
   │  │  ├── bn3        | 1.119ms       | 4.362ms  | 75.936us       | 202.496us | 0 b     | 1.25 Mb   | 0 FLOPs      | 4.10K      | 1    
   │  │  └── relu       | 3.143ms       | 9.284ms  | 15.645us       | 31.290us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   │  └── 2             |               |          |                |           |         |           |              |            |      
   │     ├── conv1      | 1.087ms       | 5.122ms  | 307.965us      | 1.027ms   | 0 b     | 256.00 Kb | 67.11MFLOPs  | 1.05M      | 1    
   │     ├── bn1        | 1.096ms       | 4.311ms  | 22.557us       | 60.152us  | 0 b     | 320.00 Kb | 0 FLOPs      | 1.02K      | 1    
   │     ├── conv2      | 1.181ms       | 5.485ms  | 354.231us      | 1.157ms   | 0 b     | 256.00 Kb | 150.99MFLOPs | 2.36M      | 1    
   │     ├── bn2        | 1.048ms       | 4.113ms  | 22.176us       | 59.136us  | 0 b     | 320.00 Kb | 0 FLOPs      | 1.02K      | 1    
   │     ├── conv3      | 1.177ms       | 5.563ms  | 115.968us      | 386.560us | 0 b     | 1.00 Mb   | 67.11MFLOPs  | 1.05M      | 1    
   │     ├── bn3        | 1.130ms       | 4.442ms  | 69.408us       | 185.088us | 0 b     | 1.25 Mb   | 0 FLOPs      | 4.10K      | 1    
         └── relu       | 3.384ms       | 9.956ms  | 15.456us       | 30.912us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   ├── avgpool          | 1.128ms       | 3.315ms  | 10.944us       | 21.888us  | 0 b     | 128.00 Kb | 0 FLOPs      | 0          | 1    
   └── fc               | 1.200ms       | 3.455ms  | 120.096us      | 240.192us | 0 b     | 1.06 Mb   | 32.77MFLOPs  | 2.05M      | 1    

