Module                  | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem   | CUDA Mem | FLOPs        | Parameters | Calls
------------------------|---------------|-----------|----------------|-----------|-----------|----------|--------------|------------|------
ResNet                  |               |           |                |           |           |          |              |            |      
   │  ├── 1             |               |           |                |           |           |          |              |            |      
   │  │  ├── conv1      | 819.300us     | 3.246ms   | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 268.44MFLOPs | 262.14K    | 1    
   │  │  ├── bn1        | 101.200us     | 293.183us | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 0 FLOPs      | 512.00     | 1    
   │  │  ├── conv2      | 1.624ms       | 6.471ms   | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 603.98MFLOPs | 589.82K    | 1    
   │  │  ├── bn2        | 133.400us     | 385.117us | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 0 FLOPs      | 512.00     | 1    
   │  │  ├── conv3      | 1.457ms       | 5.804ms   | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 268.44MFLOPs | 262.14K    | 1    
   │  │  ├── bn3        | 182.600us     | 535.083us | 0.000ns        | 0.000ns   | 10.01 Mb  | 0 b      | 0 FLOPs      | 2.05K      | 1    
   │  │  └── relu       | 279.600us     | 536.100us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 3    
   │  ├── 2             |               |           |                |           |           |          |              |            |      
   │  │  ├── conv1      | 925.700us     | 3.683ms   | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 268.44MFLOPs | 262.14K    | 1    
   │  │  ├── bn1        | 136.500us     | 394.983us | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 0 FLOPs      | 512.00     | 1    
   │  │  ├── conv2      | 1.127ms       | 4.488ms   | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 603.98MFLOPs | 589.82K    | 1    
   │  │  ├── bn2        | 104.300us     | 304.017us | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 0 FLOPs      | 512.00     | 1    
   │  │  ├── conv3      | 947.700us     | 3.768ms   | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 268.44MFLOPs | 262.14K    | 1    
   │  │  ├── bn3        | 271.600us     | 807.033us | 0.000ns        | 0.000ns   | 10.01 Mb  | 0 b      | 0 FLOPs      | 2.05K      | 1    
   │  │  └── relu       | 354.100us     | 686.700us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 3    
   │  ├── 3             |               |           |                |           |           |          |              |            |      
   │  │  ├── conv1      | 928.700us     | 3.691ms   | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 268.44MFLOPs | 262.14K    | 1    
   │  │  ├── bn1        | 121.700us     | 354.767us | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 0 FLOPs      | 512.00     | 1    
   │  │  ├── conv2      | 1.175ms       | 4.676ms   | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 603.98MFLOPs | 589.82K    | 1    
   │  │  ├── bn2        | 124.900us     | 366.017us | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 0 FLOPs      | 512.00     | 1    
   │  │  ├── conv3      | 855.500us     | 3.401ms   | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 268.44MFLOPs | 262.14K    | 1    
   │  │  ├── bn3        | 123.700us     | 357.317us | 0.000ns        | 0.000ns   | 10.01 Mb  | 0 b      | 0 FLOPs      | 2.05K      | 1    
   │  │  └── relu       | 644.600us     | 1.268ms   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 3    
   │  ├── 4             |               |           |                |           |           |          |              |            |      
   │  │  ├── conv1      | 1.279ms       | 5.091ms   | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 268.44MFLOPs | 262.14K    | 1    
   │  │  ├── bn1        | 120.900us     | 349.000us | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 0 FLOPs      | 512.00     | 1    
   │  │  ├── conv2      | 1.559ms       | 6.214ms   | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 603.98MFLOPs | 589.82K    | 1    
   │  │  ├── bn2        | 160.200us     | 469.350us | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 0 FLOPs      | 512.00     | 1    
   │  │  ├── conv3      | 735.700us     | 2.919ms   | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 268.44MFLOPs | 262.14K    | 1    
   │  │  ├── bn3        | 257.000us     | 763.600us | 0.000ns        | 0.000ns   | 10.01 Mb  | 0 b      | 0 FLOPs      | 2.05K      | 1    
   │  │  └── relu       | 406.500us     | 789.300us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 3    
   │  └── 5             |               |           |                |           |           |          |              |            |      
   │  │  ├── conv1      | 842.200us     | 3.345ms   | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 268.44MFLOPs | 262.14K    | 1    
   │  │  ├── bn1        | 119.600us     | 349.400us | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 0 FLOPs      | 512.00     | 1    
   │  │  ├── conv2      | 1.037ms       | 4.126ms   | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 603.98MFLOPs | 589.82K    | 1    
   │  │  ├── bn2        | 145.900us     | 423.417us | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 0 FLOPs      | 512.00     | 1    
   │  │  ├── conv3      | 1.539ms       | 6.129ms   | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 268.44MFLOPs | 262.14K    | 1    
   │  │  ├── bn3        | 308.900us     | 920.233us | 0.000ns        | 0.000ns   | 10.01 Mb  | 0 b      | 0 FLOPs      | 2.05K      | 1    
   │  │  └── relu       | 613.300us     | 1.207ms   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 3    
   ├── layer4           |               |           |                |           |           |          |              |            |      
   │  ├── 0             |               |           |                |           |           |          |              |            |      
   │  │  ├── conv1      | 1.093ms       | 4.350ms   | 0.000ns        | 0.000ns   | 5.00 Mb   | 0 b      | 536.87MFLOPs | 524.29K    | 1    
   │  │  ├── bn1        | 153.600us     | 450.283us | 0.000ns        | 0.000ns   | 5.00 Mb   | 0 b      | 0 FLOPs      | 1.02K      | 1    
   │  │  ├── conv2      | 2.130ms       | 8.496ms   | 0.000ns        | 0.000ns   | 1.25 Mb   | 0 b      | 603.98MFLOPs | 2.36M      | 1    
   │  │  ├── bn2        | 155.500us     | 454.167us | 0.000ns        | 0.000ns   | 1.25 Mb   | 0 b      | 0 FLOPs      | 1.02K      | 1    
   │  │  ├── conv3      | 989.300us     | 3.934ms   | 0.000ns        | 0.000ns   | 5.00 Mb   | 0 b      | 268.44MFLOPs | 1.05M      | 1    
   │  │  ├── bn3        | 308.400us     | 910.833us | 0.000ns        | 0.000ns   | 5.02 Mb   | 0 b      | 0 FLOPs      | 4.10K      | 1    
