Module                  | Self CPU time | CPU time | Self CUDA time | CUDA time | CPU Mem | CUDA Mem  | FLOPs       | Parameters | Calls
   │  │  ├── conv1      | 1.597ms       | 7.688ms  | 101.856us      | 339.520us | 0 b     | 256.00 Kb | 16.78MFLOPs | 131.07K    | 1    
   │  │  ├── bn1        | 1.296ms       | 5.118ms  | 7.104us        | 18.944us  | 0 b     | 320.00 Kb | 0 FLOPs     | 512.00     | 1    
   │  │  ├── conv2      | 1.380ms       | 6.658ms  | 150.144us      | 491.616us | 0 b     | 64.00 Kb  | 18.87MFLOPs | 589.82K    | 1    
   │  │  ├── bn2        | 1.692ms       | 6.697ms  | 6.624us        | 17.664us  | 0 b     | 80.00 Kb  | 0 FLOPs     | 512.00     | 1    
   │  │  ├── conv3      | 1.295ms       | 6.318ms  | 77.187us       | 257.290us | 0 b     | 256.00 Kb | 8.39MFLOPs  | 262.14K    | 1    
   │  │  ├── bn3        | 1.328ms       | 5.247ms  | 8.448us        | 22.528us  | 0 b     | 320.00 Kb | 0 FLOPs     | 2.05K      | 1    
   │  │  ├── relu       | 3.784ms       | 11.217ms | 15.072us       | 30.144us  | 0 b     | 0 b       | 0 FLOPs     | 0          | 3    
   │  │  └── downsample |               |          |                |           |         |           |             |            |      
   │  │  │  ├── 0       | 1.409ms       | 6.861ms  | 97.053us       | 323.510us | 0 b     | 256.00 Kb | 16.78MFLOPs | 524.29K    | 1    
   │  │  │  └── 1       | 1.555ms       | 6.157ms  | 8.352us        | 22.272us  | 0 b     | 320.00 Kb | 0 FLOPs     | 2.05K      | 1    
   │  ├── 1             |               |          |                |           |         |           |             |            |      
   │  │  ├── conv1      | 1.336ms       | 6.546ms  | 29.184us       | 97.280us  | 0 b     | 64.00 Kb  | 8.39MFLOPs  | 262.14K    | 1    
   │  │  ├── bn1        | 1.389ms       | 5.487ms  | 6.528us        | 17.408us  | 0 b     | 80.00 Kb  | 0 FLOPs     | 512.00     | 1    
   │  │  ├── conv2      | 1.505ms       | 7.255ms  | 166.176us      | 544.688us | 0 b     | 64.00 Kb  | 18.87MFLOPs | 589.82K    | 1    
   │  │  ├── bn2        | 1.233ms       | 4.867ms  | 6.813us        | 18.168us  | 0 b     | 80.00 Kb  | 0 FLOPs     | 512.00     | 1    
   │  │  ├── conv3      | 1.306ms       | 6.420ms  | 76.800us       | 256.000us | 0 b     | 256.00 Kb | 8.39MFLOPs  | 262.14K    | 1    
   │  │  ├── bn3        | 1.364ms       | 5.390ms  | 8.448us        | 22.528us  | 0 b     | 320.00 Kb | 0 FLOPs     | 2.05K      | 1    
   │  │  └── relu       | 4.244ms       | 12.594ms | 14.880us       | 29.760us  | 0 b     | 0 b       | 0 FLOPs     | 0          | 3    
   │  ├── 2             |               |          |                |           |         |           |             |            |      
   │  │  ├── conv1      | 1.282ms       | 6.279ms  | 27.072us       | 90.240us  | 0 b     | 64.00 Kb  | 8.39MFLOPs  | 262.14K    | 1    
   │  │  ├── bn1        | 1.257ms       | 4.961ms  | 7.104us        | 18.944us  | 0 b     | 80.00 Kb  | 0 FLOPs     | 512.00     | 1    
   │  │  ├── conv2      | 1.411ms       | 6.824ms  | 157.149us      | 514.646us | 0 b     | 64.00 Kb  | 18.87MFLOPs | 589.82K    | 1    
   │  │  ├── bn2        | 1.300ms       | 4.979ms  | 6.528us        | 17.408us  | 0 b     | 80.00 Kb  | 0 FLOPs     | 512.00     | 1    
   │  │  ├── conv3      | 1.250ms       | 6.122ms  | 76.128us       | 253.760us | 0 b     | 256.00 Kb | 8.39MFLOPs  | 262.14K    | 1    
   │  │  ├── bn3        | 1.439ms       | 5.687ms  | 8.544us        | 22.784us  | 0 b     | 320.00 Kb | 0 FLOPs     | 2.05K      | 1    
   │  │  └── relu       | 4.013ms       | 11.894ms | 14.784us       | 29.568us  | 0 b     | 0 b       | 0 FLOPs     | 0          | 3    
   │  ├── 3             |               |          |                |           |         |           |             |            |      
