Module                  | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem   | CUDA Mem | FLOPs       | Parameters | Calls
------------------------|---------------|-----------|----------------|-----------|-----------|----------|-------------|------------|------
ResNet                  |               |           |                |           |           |          |             |            |      
   │  │  └── relu       | 41.900us      | 69.200us  | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs     | 0          | 3    
   ├── layer3           |               |           |                |           |           |          |             |            |      
   │  ├── 0             |               |           |                |           |           |          |             |            |      
   │  │  ├── conv1      | 591.300us     | 2.344ms   | 0.000ns        | 0.000ns   | 320.00 Kb | 0 b      | 16.78MFLOPs | 131.07K    | 1    
   │  │  ├── bn1        | 103.100us     | 301.200us | 0.000ns        | 0.000ns   | 322.00 Kb | 0 b      | 0 FLOPs     | 512.00     | 1    
   │  │  ├── conv2      | 4.186ms       | 20.900ms  | 0.000ns        | 0.000ns   | 240.00 Kb | 0 b      | 18.87MFLOPs | 589.82K    | 1    
   │  │  ├── bn2        | 100.000us     | 288.450us | 0.000ns        | 0.000ns   | 82.00 Kb  | 0 b      | 0 FLOPs     | 512.00     | 1    
   │  │  ├── conv3      | 324.100us     | 1.577ms   | 0.000ns        | 0.000ns   | 384.00 Kb | 0 b      | 8.39MFLOPs  | 262.14K    | 1    
   │  │  ├── bn3        | 131.200us     | 379.833us | 0.000ns        | 0.000ns   | 328.00 Kb | 0 b      | 0 FLOPs     | 2.05K      | 1    
   │  │  ├── relu       | 48.100us      | 80.800us  | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs     | 0          | 3    
   │  │  └── downsample |               |           |                |           |           |          |             |            |      
   │  │  │  ├── 0       | 893.100us     | 3.553ms   | 0.000ns        | 0.000ns   | 320.00 Kb | 0 b      | 16.78MFLOPs | 524.29K    | 1    
   │  │  │  └── 1       | 119.500us     | 351.883us | 0.000ns        | 0.000ns   | 328.00 Kb | 0 b      | 0 FLOPs     | 2.05K      | 1    
   │  ├── 1             |               |           |                |           |           |          |             |            |      
   │  │  ├── conv1      | 285.000us     | 1.387ms   | 0.000ns        | 0.000ns   | 96.00 Kb  | 0 b      | 8.39MFLOPs  | 262.14K    | 1    
   │  │  ├── bn1        | 274.300us     | 831.600us | 0.000ns        | 0.000ns   | 82.00 Kb  | 0 b      | 0 FLOPs     | 512.00     | 1    
   │  │  ├── conv2      | 719.200us     | 3.555ms   | 0.000ns        | 0.000ns   | 240.00 Kb | 0 b      | 18.87MFLOPs | 589.82K    | 1    
   │  │  ├── bn2        | 191.700us     | 565.283us | 0.000ns        | 0.000ns   | 81.00 Kb  | 0 b      | 0 FLOPs     | 512.00     | 1    
   │  │  ├── conv3      | 296.400us     | 1.456ms   | 0.000ns        | 0.000ns   | 384.00 Kb | 0 b      | 8.39MFLOPs  | 262.14K    | 1    
   │  │  ├── bn3        | 456.600us     | 1.362ms   | 0.000ns        | 0.000ns   | 324.00 Kb | 0 b      | 0 FLOPs     | 2.05K      | 1    
   │  │  └── relu       | 33.700us      | 52.700us  | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs     | 0          | 3    
   │  ├── 2             |               |           |                |           |           |          |             |            |      
   │  │  ├── conv1      | 316.400us     | 1.548ms   | 0.000ns        | 0.000ns   | 96.00 Kb  | 0 b      | 8.39MFLOPs  | 262.14K    | 1    
   │  │  ├── bn1        | 223.200us     | 652.500us | 0.000ns        | 0.000ns   | 82.00 Kb  | 0 b      | 0 FLOPs     | 512.00     | 1    
   │  │  ├── conv2      | 735.400us     | 3.650ms   | 0.000ns        | 0.000ns   | 240.00 Kb | 0 b      | 18.87MFLOPs | 589.82K    | 1    
   │  │  ├── bn2        | 280.900us     | 831.450us | 0.000ns        | 0.000ns   | 82.00 Kb  | 0 b      | 0 FLOPs     | 512.00     | 1    
   │  │  ├── conv3      | 308.200us     | 1.508ms   | 0.000ns        | 0.000ns   | 384.00 Kb | 0 b      | 8.39MFLOPs  | 262.14K    | 1    
   │  │  ├── bn3        | 294.200us     | 886.333us | 0.000ns        | 0.000ns   | 328.00 Kb | 0 b      | 0 FLOPs     | 2.05K      | 1    
   │  │  └── relu       | 33.000us      | 51.200us  | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs     | 0          | 3    
   │  ├── 3             |               |           |                |           |           |          |             |            |      
   │  │  ├── conv1      | 353.100us     | 1.738ms   | 0.000ns        | 0.000ns   | 96.00 Kb  | 0 b      | 8.39MFLOPs  | 262.14K    | 1    
   │  │  ├── bn1        | 202.700us     | 599.150us | 0.000ns        | 0.000ns   | 82.00 Kb  | 0 b      | 0 FLOPs     | 512.00     | 1    
   │  │  ├── conv2      | 498.100us     | 2.452ms   | 0.000ns        | 0.000ns   | 240.00 Kb | 0 b      | 18.87MFLOPs | 589.82K    | 1    
   │  │  ├── bn2        | 311.200us     | 919.000us | 0.000ns        | 0.000ns   | 81.00 Kb  | 0 b      | 0 FLOPs     | 512.00     | 1    
   │  │  ├── conv3      | 281.000us     | 1.355ms   | 0.000ns        | 0.000ns   | 384.00 Kb | 0 b      | 8.39MFLOPs  | 262.14K    | 1    
   │  │  ├── bn3        | 267.700us     | 800.983us | 0.000ns        | 0.000ns   | 328.00 Kb | 0 b      | 0 FLOPs     | 2.05K      | 1    
   │  │  └── relu       | 33.200us      | 51.700us  | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs     | 0          | 3    
   │  ├── 4             |               |           |                |           |           |          |             |            |      
   │  │  ├── conv1      | 349.300us     | 1.709ms   | 0.000ns        | 0.000ns   | 96.00 Kb  | 0 b      | 8.39MFLOPs  | 262.14K    | 1    
   │  │  ├── bn1        | 221.600us     | 658.700us | 0.000ns        | 0.000ns   | 82.00 Kb  | 0 b      | 0 FLOPs     | 512.00     | 1    
   │  │  ├── conv2      | 713.300us     | 3.540ms   | 0.000ns        | 0.000ns   | 240.00 Kb | 0 b      | 18.87MFLOPs | 589.82K    | 1    
   │  │  ├── bn2        | 284.000us     | 841.783us | 0.000ns        | 0.000ns   | 82.00 Kb  | 0 b      | 0 FLOPs     | 512.00     | 1    
   │  │  ├── conv3      | 310.600us     | 1.522ms   | 0.000ns        | 0.000ns   | 384.00 Kb | 0 b      | 8.39MFLOPs  | 262.14K    | 1    
   │  │  ├── bn3        | 243.500us     | 719.917us | 0.000ns        | 0.000ns   | 328.00 Kb | 0 b      | 0 FLOPs     | 2.05K      | 1    
   │  │  └── relu       | 34.400us      | 53.900us  | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs     | 0          | 3    
   │  └── 5             |               |           |                |           |           |          |             |            |      
   │  │  ├── conv1      | 361.700us     | 1.788ms   | 0.000ns        | 0.000ns   | 96.00 Kb  | 0 b      | 8.39MFLOPs  | 262.14K    | 1    
   │  │  ├── bn1        | 704.700us     | 2.098ms   | 0.000ns        | 0.000ns   | 82.00 Kb  | 0 b      | 0 FLOPs     | 512.00     | 1    
   │  │  ├── conv2      | 724.500us     | 3.595ms   | 0.000ns        | 0.000ns   | 240.00 Kb | 0 b      | 18.87MFLOPs | 589.82K    | 1    
   │  │  ├── bn2        | 294.300us     | 873.900us | 0.000ns        | 0.000ns   | 82.00 Kb  | 0 b      | 0 FLOPs     | 512.00     | 1    
   │  │  ├── conv3      | 325.400us     | 1.586ms   | 0.000ns        | 0.000ns   | 384.00 Kb | 0 b      | 8.39MFLOPs  | 262.14K    | 1    
   │  │  ├── bn3        | 252.400us     | 746.683us | 0.000ns        | 0.000ns   | 328.00 Kb | 0 b      | 0 FLOPs     | 2.05K      | 1    
   │  │  └── relu       | 34.100us      | 53.400us  | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs     | 0          | 3    
   ├── layer4           |               |           |                |           |           |          |             |            |      
   │  ├── 0             |               |           |                |           |           |          |             |            |      
   │  │  ├── conv1      | 387.400us     | 1.916ms   | 0.000ns        | 0.000ns   | 192.00 Kb | 0 b      | 16.78MFLOPs | 524.29K    | 1    
   │  │  ├── bn1        | 250.200us     | 741.683us | 0.000ns        | 0.000ns   | 164.00 Kb | 0 b      | 0 FLOPs     | 1.02K      | 1    
   │  │  ├── conv2      | 1.102ms       | 5.602ms   | 0.000ns        | 0.000ns   | 120.00 Kb | 0 b      | 18.87MFLOPs | 2.36M      | 1    
   │  │  ├── bn2        | 303.100us     | 900.000us | 0.000ns        | 0.000ns   | 44.00 Kb  | 0 b      | 0 FLOPs     | 1.02K      | 1    
   │  │  ├── conv3      | 321.100us     | 1.573ms   | 0.000ns        | 0.000ns   | 192.00 Kb | 0 b      | 8.39MFLOPs  | 1.05M      | 1    
   │  │  ├── bn3        | 335.700us     | 995.517us | 0.000ns        | 0.000ns   | 176.00 Kb | 0 b      | 0 FLOPs     | 4.10K      | 1    
   │  │  ├── relu       | 33.600us      | 52.700us  | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs     | 0          | 3    
   │  │  └── downsample |               |           |                |           |           |          |             |            |      
   │  │  │  ├── 0       | 664.700us     | 3.284ms   | 0.000ns        | 0.000ns   | 208.00 Kb | 0 b      | 16.78MFLOPs | 2.10M      | 1    
   │  │     └── 1       | 272.000us     | 805.817us | 0.000ns        | 0.000ns   | 176.00 Kb | 0 b      | 0 FLOPs     | 4.10K      | 1    
   │  ├── 1             |               |           |                |           |           |          |             |            |      
   │  │  ├── conv1      | 564.200us     | 2.797ms   | 0.000ns        | 0.000ns   | 48.00 Kb  | 0 b      | 8.39MFLOPs  | 1.05M      | 1    
   │  │  ├── bn1        | 333.100us     | 992.000us | 0.000ns        | 0.000ns   | 44.00 Kb  | 0 b      | 0 FLOPs     | 1.02K      | 1    
   │  │  ├── conv2      | 708.600us     | 3.508ms   | 0.000ns        | 0.000ns   | 120.00 Kb | 0 b      | 18.87MFLOPs | 2.36M      | 1    
   │  │  ├── bn2        | 677.700us     | 2.026ms   | 0.000ns        | 0.000ns   | 44.00 Kb  | 0 b      | 0 FLOPs     | 1.02K      | 1    
   │  │  ├── conv3      | 379.200us     | 1.859ms   | 0.000ns        | 0.000ns   | 192.00 Kb | 0 b      | 8.39MFLOPs  | 1.05M      | 1    
   │  │  ├── bn3        | 303.800us     | 900.400us | 0.000ns        | 0.000ns   | 176.00 Kb | 0 b      | 0 FLOPs     | 4.10K      | 1    
   │  │  └── relu       | 30.500us      | 46.200us  | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs     | 0          | 3    
   │  └── 2             |               |           |                |           |           |          |             |            |      
   │     ├── conv1      | 419.300us     | 2.073ms   | 0.000ns        | 0.000ns   | 48.00 Kb  | 0 b      | 8.39MFLOPs  | 1.05M      | 1    
   │     ├── bn1        | 274.300us     | 813.983us | 0.000ns        | 0.000ns   | 44.00 Kb  | 0 b      | 0 FLOPs     | 1.02K      | 1    
   │     ├── conv2      | 793.700us     | 3.892ms   | 0.000ns        | 0.000ns   | 120.00 Kb | 0 b      | 18.87MFLOPs | 2.36M      | 1    
   │     ├── bn2        | 254.300us     | 753.000us | 0.000ns        | 0.000ns   | 44.00 Kb  | 0 b      | 0 FLOPs     | 1.02K      | 1    
   │     ├── conv3      | 354.700us     | 1.731ms   | 0.000ns        | 0.000ns   | 192.00 Kb | 0 b      | 8.39MFLOPs  | 1.05M      | 1    
   │     ├── bn3        | 312.300us     | 923.700us | 0.000ns        | 0.000ns   | 176.00 Kb | 0 b      | 0 FLOPs     | 4.10K      | 1    
         └── relu       | 30.700us      | 46.300us  | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs     | 0          | 3    
   ├── avgpool          | 117.600us     | 353.400us | 0.000ns        | 0.000ns   | 16.01 Kb  | 0 b      | 0 FLOPs     | 0          | 1    
   └── fc               | 412.300us     | 829.500us | 0.000ns        | 0.000ns   | 7.81 Kb   | 0 b      | 4.10MFLOPs  | 2.05M      | 1    

